u,v,L
1005.7996007635318,-97.83632404170406,40
1118.9013677900653,-114.80158905529579,40
1230.4297267703116,-131.5308428862915,40
1337.5749560347458,-147.60262726976237,40
1437.8401340687574,-162.64240397253963,40
1529.2749465522083,-176.3576258442095,40
1610.6134721561928,-188.5584046845067,40
1681.2999302408728,-199.16137339710514,40
1741.4164001815977,-208.17884388817907,40
1791.5463085853444,-215.6983301487297,40
1832.6126462845136,-221.8582808036015,40
1865.7232085589208,-226.82486514476147,40
1892.0428880668223,-230.77281707094633,40
1912.700898221356,-233.87151859412631,40
1928.731949647645,-236.2761763080696,40
1941.0455488316418,-238.12321618566912,40
1950.4159714902046,-239.52877958445353,40
1957.485860834422,-240.58926298608617,40
1962.7777369379423,-241.38304440161423,40
1966.7092598764932,-241.9727728423968,40
1969.6094866035023,-242.40780685144819,40
1971.7344560644426,-242.72655227058922,40
1973.2812182825296,-242.9585666033023,40
1974.3999398067062,-243.1263748319288,40
1975.2040348672622,-243.24698909101215,40
1975.7784489961018,-243.33315121033812,40
-127.77919586597335,-300.9030860482497,50
-127.72996042874749,-300.34648585268866,50
-127.66164671744741,-299.6459184086275,50
-127.57037393708825,-298.75924201872624,50
-127.45073623049042,-297.6301935694325,50
-127.29531794077181,-296.1833861432447,50
-127.09401955927746,-294.31755140129974,50
-126.8331369100614,-291.8965309374188,50
-126.49412983724851,-288.73753802752884,50
-126.05202728366078,-284.59644933509156,50
-125.47346766768578,-279.1506147412109,50
-124.71451280721193,-271.98136949406745,50
-123.71867482806287,-262.5618157324665,50
-122.41615050624561,-250.26127345569105,50
-120.72610187843894,-234.38599572877533,50
-118.5647215011549,-214.28306691732624,50
-115.86188997398574,-189.53085477277122,50
-112.5867138793917,-160.20730340352023,50
-108.77554220778971,-127.15478291477845,50
-104.54723973831015,-92.07696938344084,50
-100.08830514858565,-57.30447359832787,50
-95.60431058118895,-25.234905081809604,50
-91.25827202587232,2.3002303770686847,50
-87.12781308103784,24.411608102597622,50
-83.19830851896081,41.13196039877559,50
-79.3844839315428,53.119908922386394,50
-75.56106787174137,61.305370855266574,50
-71.58756746405993,66.62327368628152,50
-67.32209401484305,69.87197761500725,50
-62.625737135384924,71.66824078420923,50
-57.360960762181485,72.45635476676725,50
-51.38695279837675,72.539066820255,50
-44.55369533492534,72.1119434298028,50
-36.69557466612407,71.29311842750752,50
-27.624779172072415,70.14612958572113,50
-17.124453928011732,68.69617093087065,50
-4.941481280240378,66.94099110255452,50
9.221239203762478,64.85777676573383,50
25.71306596086079,62.40717206026197,50
44.94436729719654,59.53533427658086,50
67.39546461760199,56.174708575655316,50
93.62517566635911,52.24405290404836,50
124.27792745849537,47.64816425968121,50
160.0878029022501,42.277745646137255,50
201.87709312941118,36.00990200325535,50
250.5459708334794,28.70985066854706,50
307.0488860408792,20.234554100204683,50
372.3524724549787,10.439085648816935,50
447.36961973902856,-0.8134526761441663,50
532.8656574468409,-13.637842214191961,50
629.3362411661058,-28.10842221999223,50
736.8633392526386,-44.23748346342609,50
854.9657224848495,-61.95283938730446,50
982.4719014610395,-81.07876554692554,50
1117.4524891318379,-101.32585340242268,50
1257.2495009544143,-122.2954050521301,50
1398.6267097375812,-143.50198631911977,50
1538.0371584628892,-164.41355360786437,50
1671.9686950434323,-184.50328408720296,50
1797.300167585947,-203.30300496567455,50
1911.59368319026,-220.44703230526184,50
2013.266840195241,-235.69800585563337,50
2101.624912801091,-248.9517167463814,50
2176.7705002269972,-260.2235548602238,50
2239.4328857316805,-269.6229126859121,50
2290.765807855642,-277.3228510045019,50
2332.154010698651,-283.53108143095176,50
2365.053610083528,-288.46602133868294,50
2390.876122776695,-292.33939824265786,50
2410.9149370595565,-295.345220385087,50
2426.306936039552,-297.6540202320864,50
2438.0199643627557,-299.41097448056695,50
2446.8573260430276,-300.7365787326077,50
2453.472171172428,-301.7288055020178,50
2458.386574845617,-302.465966052996,50
2462.011858254378,-303.00975856431023,50
2464.668070080553,-303.4081903382365,50
2466.601522853162,-303.69820825412785,50
2467.9999247583833,-303.907968539911,50
2469.0050435840776,-304.0587363637652,50
2469.723061245127,-304.16643901292264,50
-153.33503503916802,-361.08370325789963,60
-153.275952514497,-360.41578302322637,60
-153.1939760609369,-359.57510209035297,60
-153.0844487245059,-358.5110904224715,60
-152.9408834765885,-357.15623228331896,60
-152.75438152892616,-355.42006337189366,60
-152.51282347113295,-353.1810616815597,60
-152.1997642920737,-350.2758371249025,60
-151.7929558046982,-346.48504563303464,60
-151.26243274039294,-341.51573920210984,60
-150.56816120122292,-334.98073768945306,60
-149.6574153686543,-326.3776433928809,60
-148.46240979367545,-315.07417887895986,60
-146.89938060749475,-300.31352814682924,60
-144.87132225412674,-281.26319487453037,60
-142.2776658013859,-257.13968030079144,60
-139.0342679687829,-227.43702572732548,60
-135.10405665527003,-192.24876408422426,60
-130.53065064934768,-152.58573949773415,60
-125.45668768597218,-110.49236326012897,60
-120.10596617830278,-68.76536831799343,60
-114.72517269742671,-30.28188609817144,60
-109.5099264310468,2.760276452482422,60
-104.55337569724541,29.293929723117145,60
-99.83797022275294,49.3583524785308,60
-95.26138071785137,63.743890706863674,60
-90.67328144608963,73.56644502631988,60
-85.90508095687188,79.94792842353783,60
-80.78651281781164,83.8463731380087,60
-75.1508845624619,86.00188894105108,60
-68.83315291461778,86.9476257201207,60
-61.66434335805205,87.04688018430609,60
-53.46443440191038,86.53433211576345,60
-44.03468959934888,85.55174211300903,60
-33.1497350064869,84.17535550286536,60
-20.549344713614058,82.43540511704487,60
-5.929777536288433,80.32918932306542,60
11.065487044514974,77.8293321188806,60
30.855679153032987,74.88860647231436,60
53.933240756635854,71.44240113189704,60
80.87455754112243,67.40965029078639,60
112.35021079963093,62.69286348485812,60
149.1335129501945,57.177797111617366,60
192.10536348270023,50.73329477536479,60
242.2525117552934,43.211882403906415,60
300.6551650001752,34.45182080225647,60
368.4586632490552,24.281464920245707,60
446.8229669459746,12.526902778580364,60
